status,dataset_model,subset,metric,n_images,estimate,ci_low,ci_high,p10,p25,p50,p75,p90,bootstrap_count,bootstrap_seed,bootstrap_interval,bootstrap_unit
local_rerun,coco_openai_b16,cci_to_wf_switched,margin_norm,663,0.625623853992373,0.5630499101532581,0.691602503494212,0.030123966932296766,0.15494077652692798,0.40632310509681707,0.7836257591843605,1.3464562177658081,10000,4983,percentile_2.5_97.5,switched image
local_rerun,coco_openai_b16,cci_to_wf_switched,target_drop_raw,663,0.0021801168682066114,-0.013439934406203728,0.01775877628451245,-0.2316399902105331,-0.10677288612350813,0.003990329802036299,0.1093713184818624,0.23717901180498324,10000,5410,percentile_2.5_97.5,switched image
local_rerun,coco_openai_b16,cci_to_wf_switched,target_drop_norm,663,0.0022104608213622382,-0.013955682780014448,0.01846000754222211,-0.23604256957769396,-0.10868609696626667,0.004065811634063707,0.111443422269076,0.24153398973867318,10000,5524,percentile_2.5_97.5,switched image
local_rerun,coco_openai_b16,cci_to_wf_switched,bbox_precision,663,-0.049495801913971994,-0.08325456191531382,-0.014524333846515141,-0.6893840700387954,-0.3241758346557617,0.0,0.1136938035488129,0.6164102494716646,10000,5300,percentile_2.5_97.5,switched image
local_rerun,coco_openai_b32,cci_to_wf_switched,margin_norm,614,0.48841330810246764,0.4412991684355245,0.5372854716682591,-0.03698295354843137,0.12403109669685362,0.3244231343269348,0.6615523546934128,1.1433254122734071,10000,4981,percentile_2.5_97.5,switched image
local_rerun,coco_openai_b32,cci_to_wf_switched,target_drop_raw,614,-0.004236239461942672,-0.02050401969379429,0.011900403152249519,-0.24267995804548256,-0.12668818607926371,-0.004057052312418799,0.10757493600249289,0.23109237700700774,10000,5408,percentile_2.5_97.5,switched image
local_rerun,coco_openai_b32,cci_to_wf_switched,target_drop_norm,614,-0.004320641260203358,-0.02075651256324821,0.011906545627369371,-0.24684389159083364,-0.12884465605020523,-0.0041209808550775,0.10917962668463593,0.23424620777368557,10000,5522,percentile_2.5_97.5,switched image
local_rerun,coco_openai_b32,cci_to_wf_switched,bbox_precision,614,-0.03613195557402089,-0.07449378058441734,0.0005450998590682726,-0.75,-0.2666666805744171,0.0,0.1666666828095913,0.625,10000,5298,percentile_2.5_97.5,switched image
local_rerun,voc2007_openai_b16,cci_to_wf_switched,margin_norm,50,0.4581367365270853,0.2947282176800072,0.6658178272787482,0.05422649085521698,0.1422264650464058,0.21962097287178037,0.4860887527465821,0.9358448490500451,10000,5092,percentile_2.5_97.5,switched image
local_rerun,voc2007_openai_b16,cci_to_wf_switched,target_drop_raw,50,-0.03228485614527017,-0.08648519178677816,0.020345270402263842,-0.31745464242994786,-0.15099590178579092,-0.016212899237871184,0.0787305633421056,0.2272968336939812,10000,5519,percentile_2.5_97.5,switched image
local_rerun,voc2007_openai_b16,cci_to_wf_switched,target_drop_norm,50,-0.03284234278136864,-0.08707054943271214,0.02139337680744934,-0.3224261734634638,-0.153525716625154,-0.01651334762573245,0.07986868088482879,0.2313297003507615,10000,5633,percentile_2.5_97.5,switched image
local_rerun,voc2007_openai_b16,cci_to_wf_switched,bbox_precision,50,-0.13198956698179246,-0.2462129108402878,-0.018025368342176107,-0.7549999997019767,-0.38038460072129965,-0.0974537134170532,0.08246751129627228,0.24542016834020633,10000,5409,percentile_2.5_97.5,switched image
local_rerun,voc2007_openai_b32,cci_to_wf_switched,margin_norm,38,0.4435262870239584,0.26254068736084984,0.6822878063754423,0.03193725049495699,0.1624773778021336,0.2616354748606682,0.47936464101076126,0.8977141492068769,10000,5090,percentile_2.5_97.5,switched image
local_rerun,voc2007_openai_b32,cci_to_wf_switched,target_drop_raw,38,-0.034862308566899675,-0.09134104736639481,0.020574489232201704,-0.29610257893800734,-0.12239503860473633,-0.03926900029182434,0.052932201884686975,0.19993589855730562,10000,5517,percentile_2.5_97.5,switched image
local_rerun,voc2007_openai_b32,cci_to_wf_switched,target_drop_norm,38,-0.03545229303601541,-0.09161599865673405,0.019677865733147407,-0.3005197077989578,-0.12402709573507313,-0.03991970419883732,0.05388134531676771,0.20303475186228775,10000,5631,percentile_2.5_97.5,switched image
local_rerun,voc2007_openai_b32,cci_to_wf_switched,bbox_precision,38,0.011625215999389949,-0.14997853296073643,0.17263790429324682,-0.6625,-0.3125000074505806,0.0,0.2305555585771799,0.7299999907612805,10000,5407,percentile_2.5_97.5,switched image
