setting,subset,n,full_failure_count,annotation_absent_failure_count,Pr_F_full_given_subset,Pr_F_full_CI_lo,Pr_F_full_CI_hi,Pr_F_absent_given_subset,Pr_F_absent_CI_lo,Pr_F_absent_CI_hi,absent_minus_full,absent_minus_full_CI_lo,absent_minus_full_CI_hi,bootstrap_count,bootstrap_unit,bootstrap_interval,bootstrap_seed_full,bootstrap_seed_absent,bootstrap_seed_paired_absent_minus_full
coco_openai_b16,A,17726,11410,11197,0.6436872390838316,0.6366354507503103,0.6507954417240213,0.6316709917635113,0.6245063748166535,0.6388356087103689,-0.012016247320320434,-0.013652262213697393,-0.010436646733611644,10000,image,percentile 2.5/97.5,1701,1702,1703
coco_openai_b16,Aplus,16855,10558,10346,0.6264016612281222,0.6191041234055177,0.6337585286265203,0.6138237911598932,0.6066434292494809,0.6211213289824977,-0.012577870068229012,-0.014298427766241472,-0.010916641946010086,10000,image,percentile 2.5/97.5,1701,1702,1703
coco_openai_b32,A,17847,11561,11358,0.6477839412786462,0.6407239311929176,0.6548999831904522,0.6364094805849723,0.6292374068470892,0.6434134588446238,-0.011374460693674007,-0.01294335182383594,-0.009861601389589287,10000,image,percentile 2.5/97.5,1701,1702,1703
coco_openai_b32,Aplus,17330,11054,10851,0.6378534333525678,0.6306405077899596,0.6448932487016734,0.6261396422388921,0.6189267166762839,0.6332948643969994,-0.011713791113675707,-0.013329486439699943,-0.010155799192152338,10000,image,percentile 2.5/97.5,1701,1702,1703
voc2007_openai_b16,A,1209,511,495,0.4226633581472291,0.39536807278742764,0.4507857733664185,0.4094292803970223,0.3813068651778329,0.43755169561621177,-0.013234077750206782,-0.019851116625310174,-0.007444168734491315,10000,image,percentile 2.5/97.5,1701,1702,1703
voc2007_openai_b16,Aplus,1186,491,475,0.4139966273187184,0.38617200674536256,0.4418212478920742,0.40050590219224286,0.37268128161888703,0.4291736930860034,-0.013490725126475547,-0.02023608768971332,-0.007588532883642495,10000,image,percentile 2.5/97.5,1701,1702,1703
voc2007_openai_b32,A,1227,505,488,0.41157294213528933,0.38386308068459657,0.4392828035859821,0.39771801140994295,0.37082314588427057,0.4254278728606357,-0.013854930725346373,-0.020374898125509373,-0.008149959250203748,10000,image,percentile 2.5/97.5,1701,1702,1703
voc2007_openai_b32,Aplus,1215,495,478,0.4074074074074074,0.3802469135802469,0.4345679012345679,0.3934156378600823,0.3662551440329218,0.4205761316872428,-0.013991769547325103,-0.02139917695473251,-0.00823045267489712,10000,image,percentile 2.5/97.5,1701,1702,1703
