setting,n_Aplus,Aplus_full_failure_count,Aplus_absent_failure_count,Aplus_Pr_F_full,Aplus_Pr_F_full_CI_lo,Aplus_Pr_F_full_CI_hi,Aplus_Pr_F_absent,Aplus_Pr_F_absent_CI_lo,Aplus_Pr_F_absent_CI_hi,Aplus_exact_matched_random_rate,Aplus_absent_minus_random,Aplus_absent_minus_random_CI_lo,Aplus_absent_minus_random_CI_hi
coco_openai_b16,17726,11410,11197,0.6436872390838316,0.6366354507503103,0.6507954417240213,0.6316709917635113,0.6245063748166535,0.6388356087103689,0.640915052766892,-0.009244061003380618,-0.010806044061423003,-0.007693616053164256
coco_openai_b16,16855,10558,10346,0.6264016612281222,0.6191041234055177,0.6337585286265203,0.6138237911598932,0.6066434292494809,0.6211213289824977,0.6235154905965935,-0.009691699436700245,-0.01136642183554378,-0.008100820787134344
coco_openai_b32,17847,11561,11358,0.6477839412786462,0.6407239311929176,0.6548999831904522,0.6364094805849723,0.6292374068470892,0.6434134588446238,0.6450158757006326,-0.008606395115660456,-0.010115668262065386,-0.007164578677908974
coco_openai_b32,17330,11054,10851,0.6378534333525678,0.6306405077899596,0.6448932487016734,0.6261396422388921,0.6189267166762839,0.6332948643969994,0.6350205177037036,-0.008880875464811566,-0.010462205306733429,-0.007401157902243198
voc2007_openai_b16,1209,511,495,0.4226633581472291,0.39536807278742764,0.4507857733664185,0.4094292803970223,0.3813068651778329,0.43755169561621177,0.4146185457480773,-0.00518926535105503,-0.011621928529948112,0.0005659522962029653
voc2007_openai_b16,1186,491,475,0.4139966273187184,0.38617200674536256,0.4418212478920742,0.40050590219224286,0.37268128161888703,0.4291736930860034,0.4059338655138989,-0.005427963321655994,-0.011868586670193658,0.0005877610651964627
voc2007_openai_b32,1227,505,488,0.41157294213528933,0.38386308068459657,0.4392828035859821,0.39771801140994295,0.37082314588427057,0.4254278728606357,0.4032161499839215,-0.005498138573978618,-0.011905546401920557,0.00038317704868303434
voc2007_openai_b32,1215,495,478,0.4074074074074074,0.3802469135802469,0.4345679012345679,0.3934156378600823,0.3662551440329218,0.4205761316872428,0.3990595285114263,-0.00564389065134393,-0.012189749519040888,0.0003236263821823521
