dataset,model,epsilon,n_images,original_negative_margin_rate,repair_negative_margin_rate,absolute_change_negative_margin_rate,switch_count,switch_rate,among_switched_mean_delta_pmax,among_switched_median_delta_pmax,among_switched_p_delta_positive,among_switched_fail_to_pass,among_switched_pass_to_fail
coco,openai_b16,0.02,27708,0.7404359751696261,0.7389201674606611,-0.001515807708964978,663,0.023928107405803378,0.6256239282433576,0.4063149033264882,0.9215686274509803,0.06334841628959276,0.0
coco,openai_b32,0.02,27708,0.7391006207593475,0.7375126317309081,-0.0015879890284393738,613,0.02212357441894038,0.48713934701369255,0.3235049973596955,0.866231647634584,0.07830342577487764,0.0065252854812398045
voc2007,openai_b16,0.02,1943,0.5815748841996912,0.5759135357694287,-0.005661348430262447,50,0.02573340195573855,0.45813868905805855,0.2196147430943699,0.92,0.22,0.0
voc2007,openai_b32,0.02,1943,0.5589294904786413,0.5558414822439527,-0.0030880082346885773,38,0.0195573854863613,0.4435259445128519,0.26163599953277306,0.9210526315789473,0.15789473684210525,0.0
