table,dataset_model,key,old_value,new_value,new_minus_old
paired,voc2007_openai_b16,wf_minus_mean/margin_norm/estimate,0.0044802845893327,0.00448028493363,3.4429729987156543e-10
paired,voc2007_openai_b16,wf_minus_mean/margin_norm/ci_low,0.0023320762520609,0.002330177335696,-1.8989163648999371e-06
paired,voc2007_openai_b16,wf_minus_mean/margin_norm/ci_high,0.0070192533776229,0.0070133944844771,-5.858893145799585e-06
paired,voc2007_openai_b16,wf_minus_mean/target_drop_raw/estimate,-0.0007119277963646,-0.0007119276569212,1.3944340007763373e-10
paired,voc2007_openai_b16,wf_minus_mean/target_drop_raw/ci_low,-0.001890971489346,-0.0019220640238993,-3.109253455329999e-05
paired,voc2007_openai_b16,wf_minus_mean/target_drop_raw/ci_high,0.0003933206731079,0.0003758334667673,-1.7487206340599992e-05
paired,voc2007_openai_b16,wf_minus_mean/target_drop_norm/estimate,-0.0007225111579462,-0.0007225110870458,7.090039991740349e-11
paired,voc2007_openai_b16,wf_minus_mean/target_drop_norm/ci_low,-0.0019778945476752,-0.001962628745249,1.526580242619969e-05
paired,voc2007_openai_b16,wf_minus_mean/target_drop_norm/ci_high,0.0004103032920918,0.0004081171023418,-2.1861897499999964e-06
paired,voc2007_openai_b16,wf_minus_mean/bbox_precision/estimate,-0.0044872332182178,-0.0044872332182178,0.0
paired,voc2007_openai_b16,wf_minus_mean/bbox_precision/ci_low,-0.0073252138940064,-0.007356860102032,-3.1646208025599976e-05
paired,voc2007_openai_b16,wf_minus_mean/bbox_precision/ci_high,-0.0020051372696214,-0.0020178151257025,-1.2677856081100107e-05
paired,voc2007_openai_b16,wf_minus_max_0_1/margin_norm/estimate,0.0005067595296524,0.0005067599850083,4.553559000133531e-10
paired,voc2007_openai_b16,wf_minus_max_0_1/margin_norm/ci_low,2.4874386441382345e-05,4.6440126490359815e-05,2.156574004897747e-05
paired,voc2007_openai_b16,wf_minus_max_0_1/margin_norm/ci_high,0.0011140374880911,0.0011202466477147,6.209159623600004e-06
paired,voc2007_openai_b16,wf_minus_max_0_1/target_drop_raw/estimate,0.0001651483146465,0.0001651483261502,1.1503700010802309e-11
paired,voc2007_openai_b16,wf_minus_max_0_1/target_drop_raw/ci_low,-0.0001558346718902,-0.0001558345031689,1.687213000063116e-10
paired,voc2007_openai_b16,wf_minus_max_0_1/target_drop_raw/ci_high,0.0006316933260125,0.0006161947594931,-1.5498566519400042e-05
paired,voc2007_openai_b16,wf_minus_max_0_1/target_drop_norm/estimate,0.0001678629699237,0.0001678629814274,1.1503700010802309e-11
paired,voc2007_openai_b16,wf_minus_max_0_1/target_drop_norm/ci_low,-0.0001584459369886,-0.0001612488430125,-2.802906023899993e-06
paired,voc2007_openai_b16,wf_minus_max_0_1/target_drop_norm/ci_high,0.0006328644187822,0.0006532691133448,2.0404694562599942e-05
paired,voc2007_openai_b16,wf_minus_max_0_1/bbox_precision/estimate,9.567550145285132e-06,9.56755014528519e-06,5.759824041329242e-20
paired,voc2007_openai_b16,wf_minus_max_0_1/bbox_precision/ci_low,-0.0008274278211888,-0.0008300671289707,-2.6393077819000365e-06
paired,voc2007_openai_b16,wf_minus_max_0_1/bbox_precision/ci_high,0.0009762196659244,0.0009762196659244,0.0
paired,voc2007_openai_b32,wf_minus_mean/margin_norm/estimate,0.0031839001116621,0.0031838903054537,-9.80620839998586e-09
paired,voc2007_openai_b32,wf_minus_mean/margin_norm/ci_low,0.0014497300240389,0.0014624647301913,1.2734706152399931e-05
paired,voc2007_openai_b32,wf_minus_mean/margin_norm/ci_high,0.0051263174023891,0.0051291566337861,2.8392313969997918e-06
paired,voc2007_openai_b32,wf_minus_mean/target_drop_raw/estimate,-0.0002984962609706,-0.0002984966945173,-4.3354670000534876e-10
paired,voc2007_openai_b32,wf_minus_mean/target_drop_raw/ci_low,-0.0012071361171625,-0.0011863194324787,2.0816684683799998e-05
paired,voc2007_openai_b32,wf_minus_mean/target_drop_raw/ci_high,0.0005456692199076,0.000545605484598,-6.373530960000848e-08
paired,voc2007_openai_b32,wf_minus_mean/target_drop_norm/estimate,-0.0003039624984891,-0.0003039629727782,-4.742891000189715e-10
paired,voc2007_openai_b32,wf_minus_mean/target_drop_norm/ci_low,-0.0012334789477798,-0.0012071416419952,2.633730578460009e-05
paired,voc2007_openai_b32,wf_minus_mean/target_drop_norm/ci_high,0.0005573397623811,0.0005583145569233,9.747945421999856e-07
paired,voc2007_openai_b32,wf_minus_mean/bbox_precision/estimate,-0.0012368186426359,-0.0012368186426359,0.0
paired,voc2007_openai_b32,wf_minus_mean/bbox_precision/ci_low,-0.0040990246284409,-0.0040290919037145,6.993272472639953e-05
paired,voc2007_openai_b32,wf_minus_mean/bbox_precision/ci_high,0.0013933648047101,0.001430047454137,3.6682649426899964e-05
paired,voc2007_openai_b32,wf_minus_max_0_1/margin_norm/estimate,0.0004183229133755,0.0004183169736177,-5.939757800031437e-09
paired,voc2007_openai_b32,wf_minus_max_0_1/margin_norm/ci_low,4.394419924598108e-05,5.779349030874098e-05,1.3849291062759902e-05
paired,voc2007_openai_b32,wf_minus_max_0_1/margin_norm/ci_high,0.0009070290314878,0.000911734925465,4.705893977200023e-06
paired,voc2007_openai_b32,wf_minus_max_0_1/target_drop_raw/estimate,-1.1714379534669835e-06,-1.1718118245983272e-06,-3.7387113134369074e-10
paired,voc2007_openai_b32,wf_minus_max_0_1/target_drop_raw/ci_low,-0.0003358456993986,-0.0003356853297734,1.603696251999934e-07
paired,voc2007_openai_b32,wf_minus_max_0_1/target_drop_raw/ci_high,0.0003663514804514,0.000365208574713,-1.1429057384000087e-06
