status,dataset_model,subset,metric,n_images,estimate,ci_low,ci_high,p10,p25,p50,p75,p90,bootstrap_count,bootstrap_seed,bootstrap_interval,bootstrap_unit,difference_definition,n_valid
local_rerun_traceable,coco_openai_b16,cci_to_wf_switched,margin_norm,663,0.6256238536815699,0.5630499034668199,0.6916024754994535,0.030123976059257998,0.15494109690189362,0.4063228368759155,0.783626027405262,1.3464557349681856,10000,4983,percentile_2.5_97.5,switched image,wf_margin_norm - cci_margin_norm,663
local_rerun_traceable,coco_openai_b16,cci_to_wf_switched,target_drop_raw,663,0.0021801168707416773,-0.013439934739203342,0.01775876888001649,-0.23164017945528032,-0.10677291266620159,0.003990329802036285,0.10937131335958838,0.23717892947606767,10000,5410,percentile_2.5_97.5,switched image,wf_target_drop_raw - cci_target_drop_raw,663
local_rerun_traceable,coco_openai_b16,cci_to_wf_switched,target_drop_norm,663,0.0022104608700551876,-0.013955675771902893,0.018460002730832176,-0.23604256957769393,-0.108686164021492,0.004065811634063721,0.11144341435283422,0.24153390652500117,10000,5524,percentile_2.5_97.5,switched image,wf_target_drop_norm - cci_target_drop_norm,663
local_rerun_traceable,coco_openai_b16,cci_to_wf_switched,bbox_precision,663,-0.049495801913971994,-0.08325456191531382,-0.014524333846515141,-0.6893840700387954,-0.3241758346557617,0.0,0.11369380354881287,0.6164102494716646,10000,5300,percentile_2.5_97.5,switched image,wf_bbox_precision - cci_bbox_precision,663
local_rerun_traceable,coco_openai_b32,cci_to_wf_switched,margin_norm,613,0.48925112138411997,0.4420697743742595,0.5382771665788458,-0.03719121441245078,0.12433502823114395,0.3253498822450638,0.662928968667984,1.1434274140745402,10000,4981,percentile_2.5_97.5,switched image,wf_margin_norm - cci_margin_norm,613
local_rerun_traceable,coco_openai_b32,cci_to_wf_switched,target_drop_raw,613,-0.004401970878417215,-0.020574302301792177,0.011514531516679838,-0.24320700168609619,-0.1267407238483429,-0.004662881139665842,0.107675701379776,0.23142778873443626,10000,5408,percentile_2.5_97.5,switched image,wf_target_drop_raw - cci_target_drop_raw,613
local_rerun_traceable,coco_openai_b32,cci_to_wf_switched,target_drop_norm,613,-0.004489108140869591,-0.02095754995860537,0.011665758641732029,-0.24731471240520475,-0.12889808416366577,-0.004742253106087446,0.10920372605323792,0.23447592854499832,10000,5522,percentile_2.5_97.5,switched image,wf_target_drop_norm - cci_target_drop_norm,613
local_rerun_traceable,coco_openai_b32,cci_to_wf_switched,bbox_precision,613,-0.037414389433032345,-0.07542585172062986,0.00011313821555251702,-0.75,-0.2666666805744171,0.0,0.1666666716337204,0.625,10000,5298,percentile_2.5_97.5,switched image,wf_bbox_precision - cci_bbox_precision,613
local_rerun_traceable,voc2007_openai_b16,cci_to_wf_switched,margin_norm,50,0.4581368412566371,0.2947282085613115,0.6658180702058598,0.05422654300928116,0.14222639240324497,0.21962098311632872,0.4860885590314865,0.9358452724292875,10000,5092,percentile_2.5_97.5,switched image,wf_margin_norm - cci_margin_norm,50
local_rerun_traceable,voc2007_openai_b16,cci_to_wf_switched,target_drop_raw,50,-0.03228484180523083,-0.08648520598578034,0.020345266033895307,-0.31745485365390774,-0.15099576953798532,-0.016212664544582367,0.07873061535065062,0.22729695588350302,10000,5519,percentile_2.5_97.5,switched image,wf_target_drop_raw - cci_target_drop_raw,50
local_rerun_traceable,voc2007_openai_b16,cci_to_wf_switched,target_drop_norm,50,-0.0328423315170221,-0.08707051502651302,0.02139339232002381,-0.3224264122545719,-0.153525585308671,-0.016513105481863022,0.0798687350761611,0.2313297957181931,10000,5633,percentile_2.5_97.5,switched image,wf_target_drop_norm - cci_target_drop_norm,50
local_rerun_traceable,voc2007_openai_b16,cci_to_wf_switched,bbox_precision,50,-0.13198956698179246,-0.2462129108402878,-0.018025368342176103,-0.7549999997019767,-0.38038460072129965,-0.09745371341705322,0.08246751129627228,0.24542016834020638,10000,5409,percentile_2.5_97.5,switched image,wf_bbox_precision - cci_bbox_precision,50
local_rerun_traceable,voc2007_openai_b32,cci_to_wf_switched,margin_norm,38,0.4435265379418668,0.26254010973498226,0.6822881713411525,0.03193707466125489,0.1624785726889968,0.2616336829960346,0.4793606400489807,0.8977110635489226,10000,5090,percentile_2.5_97.5,switched image,wf_margin_norm - cci_margin_norm,38
local_rerun_traceable,voc2007_openai_b32,cci_to_wf_switched,target_drop_raw,38,-0.03486230920412039,-0.09134108789730817,0.020574450693828482,-0.29610242396593095,-0.12239515781402588,-0.03926897048950195,0.05293215252459049,0.1999359827488663,10000,5517,percentile_2.5_97.5,switched image,wf_target_drop_raw - cci_target_drop_raw,38
local_rerun_traceable,voc2007_openai_b32,cci_to_wf_switched,target_drop_norm,38,-0.03545229715344153,-0.0916160115861873,0.019677874567232214,-0.3005195498466492,-0.12402722984552383,-0.03991969674825668,0.053881294559687376,0.20303482972085496,10000,5631,percentile_2.5_97.5,switched image,wf_target_drop_norm - cci_target_drop_norm,38
local_rerun_traceable,voc2007_openai_b32,cci_to_wf_switched,bbox_precision,38,0.011625215999389949,-0.14997853296073643,0.17263790429324682,-0.6625,-0.3125000074505806,0.0,0.2305555585771799,0.7299999907612805,10000,5407,percentile_2.5_97.5,switched image,wf_bbox_precision - cci_bbox_precision,38
