status,dataset_model,method,subset,metric,n,mean,ci_low,ci_high,bootstrap_count,bootstrap_seed,bootstrap_interval,bootstrap_unit
local_rerun_traceable,coco_openai_b16,wf,joint_j,target_drop_raw,12,0.37745537888258696,,,0,,not_requested_for_descriptive_strategy_summary,
local_rerun_traceable,coco_openai_b16,wf,joint_j,target_drop_norm,12,0.3841070734585325,,,0,,not_requested_for_descriptive_strategy_summary,
local_rerun_traceable,coco_openai_b16,wf,joint_j,bbox_precision,12,0.8492722113927206,,,0,,not_requested_for_descriptive_strategy_summary,
local_rerun_traceable,coco_openai_b16,mean,all,margin_norm,27708,-0.3397248695394963,,,0,,not_requested_for_descriptive_strategy_summary,
local_rerun_traceable,coco_openai_b16,mean,all,target_drop_raw,27708,0.9382035736320825,,,0,,not_requested_for_descriptive_strategy_summary,
local_rerun_traceable,coco_openai_b16,mean,all,target_drop_norm,27708,0.9554698294811576,,,0,,not_requested_for_descriptive_strategy_summary,
local_rerun_traceable,coco_openai_b16,mean,all,bbox_precision,27708,0.6816645554229964,,,0,,not_requested_for_descriptive_strategy_summary,
local_rerun_traceable,coco_openai_b16,mean,A,margin_norm,17726,-0.11355533070715551,,,0,,not_requested_for_descriptive_strategy_summary,
local_rerun_traceable,coco_openai_b16,mean,A,target_drop_raw,17726,1.1923139101548037,,,0,,not_requested_for_descriptive_strategy_summary,
local_rerun_traceable,coco_openai_b16,mean,A,target_drop_norm,17726,1.2143826778151472,,,0,,not_requested_for_descriptive_strategy_summary,
local_rerun_traceable,coco_openai_b16,mean,A,bbox_precision,17726,0.900623453450953,,,0,,not_requested_for_descriptive_strategy_summary,
local_rerun_traceable,coco_openai_b16,mean,Aplus,margin_norm,16855,-0.06025003893001996,,,0,,not_requested_for_descriptive_strategy_summary,
local_rerun_traceable,coco_openai_b16,mean,Aplus,target_drop_raw,16855,1.2624868381167507,,,0,,not_requested_for_descriptive_strategy_summary,
local_rerun_traceable,coco_openai_b16,mean,Aplus,target_drop_norm,16855,1.2858576095190766,,,0,,not_requested_for_descriptive_strategy_summary,
local_rerun_traceable,coco_openai_b16,mean,Aplus,bbox_precision,16855,0.900627414209509,,,0,,not_requested_for_descriptive_strategy_summary,
local_rerun_traceable,coco_openai_b16,mean,B,margin_norm,11410,-0.7950083295710928,,,0,,not_requested_for_descriptive_strategy_summary,
local_rerun_traceable,coco_openai_b16,mean,B,target_drop_raw,11410,0.5695049733656633,,,0,,not_requested_for_descriptive_strategy_summary,
local_rerun_traceable,coco_openai_b16,mean,B,target_drop_norm,11410,0.5799148816194271,,,0,,not_requested_for_descriptive_strategy_summary,
local_rerun_traceable,coco_openai_b16,mean,B,bbox_precision,11410,0.8989881528505531,,,0,,not_requested_for_descriptive_strategy_summary,
local_rerun_traceable,coco_openai_b16,mean,repair_r,margin_norm,18,-0.08947351264456908,,,0,,not_requested_for_descriptive_strategy_summary,
local_rerun_traceable,coco_openai_b16,mean,repair_r,target_drop_raw,18,0.41050699953403735,,,0,,not_requested_for_descriptive_strategy_summary,
local_rerun_traceable,coco_openai_b16,mean,repair_r,target_drop_norm,18,0.41768049800561535,,,0,,not_requested_for_descriptive_strategy_summary,
local_rerun_traceable,coco_openai_b16,mean,repair_r,bbox_precision,18,0.7544670907987489,,,0,,not_requested_for_descriptive_strategy_summary,
