status,dataset_model,subset,n,full_failure_count,annotation_absent_failure_count,Pr_F_full,Pr_F_full_CI_lo,Pr_F_full_CI_hi,Pr_F_absent,Pr_F_absent_CI_lo,Pr_F_absent_CI_hi,absent_minus_full,absent_minus_full_CI_lo,absent_minus_full_CI_hi,bootstrap_count,bootstrap_interval,bootstrap_unit,bootstrap_seed_full,bootstrap_seed_absent,bootstrap_seed_paired_absent_minus_full
local_rerun_traceable,coco_openai_b16,all,27708,20514,20194,0.7403637938501516,0.7351667388479861,0.7455247581925798,0.7288147827342284,0.7234733650931139,0.7340479283961311,-0.0115490111159232,-0.01284917713295799,-0.010321928684856358,10000,percentile_2.5/97.5,image,4542,4543,4544
local_rerun_traceable,coco_openai_b16,A,17726,11410,11197,0.6436872390838316,0.6366918650569785,0.6508518560306894,0.6316709917635113,0.6245627891233216,0.6387791944037008,-0.012016247320320434,-0.013652262213697393,-0.010436646733611644,10000,percentile_2.5/97.5,image,4294,4295,4296
local_rerun_traceable,coco_openai_b16,Aplus,16855,10558,10346,0.6264016612281222,0.6192212993177099,0.6337600118659151,0.6138237911598932,0.6065262533372886,0.6210041530703055,-0.012577870068229012,-0.014239098190447939,-0.010916641946010086,10000,percentile_2.5/97.5,image,4746,4747,4748
local_rerun_traceable,coco_openai_b32,all,27708,20479,20168,0.7391006207593475,0.7339035657571821,0.7442263967085319,0.7278764255810596,0.7226432799191569,0.7330734805832251,-0.01122419517828786,-0.01248736826909196,-0.009997112747221018,10000,percentile_2.5/97.5,image,4540,4541,4542
local_rerun_traceable,coco_openai_b32,A,17848,11562,11359,0.6478036754818467,0.6408000896458987,0.6548646907216494,0.6364298520842672,0.6294262662483191,0.64332138054684,-0.011373823397579561,-0.012942626624831914,-0.009805020170327208,10000,percentile_2.5/97.5,image,4292,4293,4294
local_rerun_traceable,coco_openai_b32,Aplus,17331,11055,10852,0.637874329236628,0.6306041197853557,0.6450291385378801,0.6261612140095782,0.6188910045583059,0.6334314234608505,-0.011713115227049795,-0.013328717327332526,-0.010155213201777162,10000,percentile_2.5/97.5,image,4744,4745,4746
local_rerun_traceable,voc2007_openai_b16,all,1943,1131,1102,0.582089552238806,0.5604734945959856,0.6037056098816264,0.5671641791044776,0.5450334534225425,0.5892949047864128,-0.014925373134328358,-0.020586721564590838,-0.00977869274318065,10000,percentile_2.5/97.5,image,4651,4652,4653
local_rerun_traceable,voc2007_openai_b16,A,1209,511,495,0.4226633581472291,0.3945409429280397,0.4507857733664185,0.4094292803970223,0.3813068651778329,0.43837882547559964,-0.013234077750206782,-0.019851116625310174,-0.007444168734491315,10000,percentile_2.5/97.5,image,4403,4404,4405
local_rerun_traceable,voc2007_openai_b16,Aplus,1186,491,475,0.4139966273187184,0.38617200674536256,0.4418212478920742,0.40050590219224286,0.37268128161888703,0.42833052276559863,-0.013490725126475547,-0.02023608768971332,-0.007588532883642495,10000,percentile_2.5/97.5,image,4855,4856,4857
local_rerun_traceable,voc2007_openai_b32,all,1943,1086,1057,0.5589294904786413,0.5373134328358209,0.5815748841996912,0.5440041173443129,0.5223880597014925,0.5661348430262481,-0.014925373134328358,-0.020586721564590838,-0.00977869274318065,10000,percentile_2.5/97.5,image,4649,4650,4651
local_rerun_traceable,voc2007_openai_b32,A,1227,504,487,0.41075794621026895,0.3830480847595762,0.43765281173594134,0.39690301548492257,0.3691931540342298,0.42461287693561534,-0.013854930725346373,-0.020374898125509373,-0.008149959250203748,10000,percentile_2.5/97.5,image,4401,4402,4403
local_rerun_traceable,voc2007_openai_b32,Aplus,1215,494,477,0.4065843621399177,0.3794238683127572,0.4345679012345679,0.3925925925925926,0.3654320987654321,0.41977366255144,-0.013991769547325103,-0.0205761316872428,-0.008209876543210176,10000,percentile_2.5/97.5,image,4853,4854,4855
