status,dataset_model,subset,n,full_non_target_foil_n_mean,annotation_absent_foil_n_mean,full_outranking_n_mean,exact_matched_random_failure_rate,exact_matched_random_CI_lo,exact_matched_random_CI_hi,absent_minus_matched_random,absent_minus_matched_random_CI_lo,absent_minus_matched_random_CI_hi,bootstrap_count,bootstrap_interval,bootstrap_unit,bootstrap_seed_random,bootstrap_seed_paired_absent_minus_random
local_rerun_traceable,coco_openai_b16,all,27708,79.0,76.54031326692652,14.985599826764833,0.73804178517633,0.7327051053092045,0.7431140795392459,-0.009227002442101648,-0.010485356725257678,-0.00802340936425855,10000,percentile_2.5/97.5,image,4545,4546
local_rerun_traceable,coco_openai_b16,A,17726,79.0,76.62038813042987,8.218436195419159,0.640915052766892,0.6338803806802179,0.6477647899925729,-0.009244061003380618,-0.010783530885226062,-0.007707646772232507,10000,percentile_2.5/97.5,image,4297,4298
local_rerun_traceable,coco_openai_b16,Aplus,16855,79.0,76.60700088994363,7.70109759715218,0.6235154905965935,0.6163524393767165,0.6308872594276232,-0.009691699436700245,-0.01133157065297415,-0.00810618791036437,10000,percentile_2.5/97.5,image,4749,4750
local_rerun_traceable,coco_openai_b32,all,27708,79.0,76.54031326692652,14.676844232712574,0.7366822063550361,0.7315612007708765,0.7418554271150997,-0.008805780773976542,-0.010026632167234158,-0.0076347371386765416,10000,percentile_2.5/97.5,image,4543,4544
local_rerun_traceable,coco_openai_b32,A,17848,79.0,76.6033168982519,8.091382787987449,0.6450357104392288,0.6380647701206262,0.6518879088116775,-0.00860585835496177,-0.01014787715831617,-0.007129382663092448,10000,percentile_2.5/97.5,image,4295,4296
local_rerun_traceable,coco_openai_b32,Aplus,17331,79.0,76.59633027522936,7.746927471005712,0.6350415208640788,0.6279224715879677,0.6421291178487142,-0.008880306854500605,-0.010424087608509013,-0.0073614823261965385,10000,percentile_2.5/97.5,image,4747,4748
local_rerun_traceable,voc2007_openai_b16,all,1943,19.0,17.723108594956255,3.5671641791044775,0.5751118787755823,0.5532764764129957,0.5969476617836055,-0.007947699671104643,-0.013350209204502386,-0.003083281149499653,10000,percentile_2.5/97.5,image,4654,4655
local_rerun_traceable,voc2007_openai_b16,A,1209,19.0,17.74110835401158,1.509511993382961,0.4146185457480773,0.3877144398891128,0.44175965119987887,-0.00518926535105503,-0.011597601181142583,0.0005659522962029648,10000,percentile_2.5/97.5,image,4406,4407
local_rerun_traceable,voc2007_openai_b16,Aplus,1186,19.0,17.738617200674536,1.4738617200674535,0.4059338655138989,0.3790397705486147,0.43369042626073834,-0.005427963321655994,-0.011878694852397342,0.000618194379908698,10000,percentile_2.5/97.5,image,4858,4859
local_rerun_traceable,voc2007_openai_b32,all,1943,19.0,17.723108594956255,3.1991765311374163,0.5508740592967691,0.529061909501636,0.5726196271232712,-0.006869941952456151,-0.012122229321702233,-0.002047565940625339,10000,percentile_2.5/97.5,image,4652,4653
local_rerun_traceable,voc2007_openai_b32,A,1227,19.0,17.731866340668297,1.414832925835371,0.40240592011694226,0.3753665133678115,0.429350205459155,-0.005502904632019673,-0.012080939090058597,0.00039427916035513665,10000,percentile_2.5/97.5,image,4404,4405
local_rerun_traceable,voc2007_openai_b32,Aplus,1215,19.0,17.732510288065843,1.3901234567901235,0.3982412963741558,0.37129336417983555,0.4249941587710096,-0.005648703781563168,-0.012329767370091498,0.0003658615998561652,10000,percentile_2.5/97.5,image,4856,4857
